time,angle 1,velocity 1,angle 2,velocity 2,torque 1,torque 2
35.85,0.994281361903962,0.0011587301954091485,-1.0000036395657164,-0.0002888754329272575,12.85402242970451,-3.4344816962634925
35.86,0.9942908872239374,0.001158004472665194,-1.0000036346236658,-0.0002885354468298149,12.85402242970451,-3.4344816962634925
35.87,0.9943003968038834,0.0011555849850174121,-1.0000036296772574,-0.000288871182827971,12.854179949489515,-3.4344815925275483
35.88,0.9943098906560265,0.0011548615578727756,-1.0000036247433803,-0.00028853231662847516,12.854179949489515,-3.4344815925275483
35.89,0.9943193688193545,0.0011524500082286883,-1.0000036198051907,-0.0002888669528449923,12.854336944207432,-3.434481489089804
35.9,0.9943288313060575,0.0011517288698812225,-1.0000036148795217,-0.00028852920291981397,12.854336944207432,-3.434481489089804
35.910000000000004,0.9943382781549985,0.001149325232770848,-1.0000036099495848,-0.0002888627428691226,12.854493415597851,-3.434481385949593
35.92,0.9943477093783312,0.0011486063764384366,-1.0000036050321581,-0.00028852610560652704,12.854493415597851,-3.434481385949593
35.93,0.9943571250147936,0.0011462106264675661,-1.0000036001105077,-0.0002888585527856322,12.854649365394653,-3.4344812831062796
35.94,0.9943665250765034,0.0011454940453838607,-1.0000035952013566,-0.000288523024584888,12.854649365394653,-3.4344812831062796
35.95,0.9943759096020742,0.0011431061572392159,-1.0000035902880255,-0.00028885438248653025,12.854804795326059,-3.4344811805592186
35.96,0.9943852786035876,0.0011423918446551169,-1.000003585387183,-0.0002885199597582665,12.854804795326059,-3.4344811805592186
35.97,0.9943946321195333,0.0011400117930977093,-1.0000035804822038,-0.00028885023185961744,12.854959707114624,-3.434481078307769
35.980000000000004,0.9944039701619567,0.0011392997422819099,-1.0000035755897019,-0.0002885169110273207,12.854959707114624,-3.434481078307769
35.99,0.994413292769224,0.0011369275021525618,-1.0000035706931067,-0.0002888461007991813,12.855114102477271,-3.4344809763512805
36.0,0.9944225999533447,0.0011362177063881395,-1.0000035658089772,-0.0002885138782931121,12.855114102477271,-3.4344809763512805
36.01,0.9944318917525617,0.001133853252604104,-1.0000035609207973,-0.0002888419891939912,12.855267983125303,-3.4344808746891053
36.02,0.9944411681788489,0.0011331457051947044,-1.0000035560450715,-0.0002885108614602804,12.855267983125303,-3.4344808746891053
36.03,0.9944504292703262,0.0011307890127502807,-1.0000035511653376,-0.0002888378969379228,12.855421350764411,-3.4344807733205984
36.04,0.9944596750389316,0.0011300837070128606,-1.0000035462980459,-0.0002885078604290644,12.855421350764411,-3.4344807733205984
36.050000000000004,0.9944689055226629,0.0011277347509797168,-1.0000035414267883,-0.00028883382392211207,12.855574207094703,-3.4344806722451247
36.06,0.9944781207334221,0.0011270316802506522,-1.000003536567961,-0.00028850487510671385,12.855574207094703,-3.4344806722451247
36.07,0.9944873207090851,0.0011246904357743903,-1.0000035317052094,-0.00028882977004151064,12.855726553810733,-3.4344805714620206
36.08,0.9944965054615184,0.0011239895934063127,-1.000003526854876,-0.0002885019053958148,12.855726553810733,-3.4344805714620206
36.09,0.994505675028476,0.001121656035712484,-1.0000035220006596,-0.0002888257351906344,12.85587839260149,-3.434480470970646
36.1,0.994514829421789,0.0011209574150747466,-1.000003517158849,-0.0002884989512028162,12.85587839260149,-3.434480470970646
36.11,0.9945239686790902,0.0011186315194613113,-1.0000035123131965,-0.00028882171926180445,12.856029725150437,-3.434480370770353
36.12,0.9945330928121753,0.0011179351139401497,-1.0000035074799372,-0.0002884960124309134,12.856029725150437,-3.434480370770353
36.13,0.9945422018585559,0.0011156168557845945,-1.0000035026428766,-0.0002888177221527895,12.856180553135527,-3.434480270860503
36.14,0.9945512958299926,0.0011149226587828796,-1.0000034978181966,-0.00028849308899012366,12.856180553135527,-3.434480270860503
